,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
257,2-s2.0-85107727422,10.1007/s11356-021-14837-y,,34115304,"Modeling financial development, tourism, energy consumption, and environmental quality: Is there any discrepancy between developing and developed countries?",ar,Article,Usman M.,60078212;60070615,"University of Agriculture, Faisalabad;Government College University Faisalabad",Faisalabad;Faisalabad,Pakistan;Pakistan,4,"Usman, Muhammad;Yaseen, Muhammad Rizwan;Kousar, Rakhshanda;Makhdum, Muhammad Sohail Amjad",57318576500;57225360678;36139698200;57196375473,60070615;60070615;60078212;60070615,2021-11-01 00:00:00,November 2021,Environmental Science and Pollution Research,09441344,23918,16147499,Journal,28,41,,58480-58501,"The main purpose of this study is to explore the dynamic association between financial development, tourism, primary and renewable energy utilization, urbanization, and carbon emission by employing the longitudinal data of 52 countries from 1995 to 2017. Empirical results of panel pooled mean group-autoregressive distributive lag (PMG-ARDL) model reveal that financial development significantly improves the environmental quality in developed countries. However, it has a detrimental but insignificant effect on the environment in developing countries. In the case of developed countries, the profound tourism sector is more harmful to the environment due to a large number of tourist arrivals in contrast to the developing countries. There is a wide difference between developed and developing countries concerning industrial, regional, and economic structure, in the effect of financial and tourism development on carbon emission, but both urbanization and primary energy utilization promote carbon emissions. The utilization of renewable energy sources improves the environmental quality in both regions. Generally, it is suggested that investment in renewable energy resources in both regions affects pollution differently and still has the potential to accelerate environmental quality. Moreover, the panel causality test explores that there exists bidirectional causality between financial development, primary energy, and carbon emission in both regions, while a unidirectional causality is observed from urbanization to carbon emission in developed countries. In developing countries, it exists from tourism to carbon emission and carbon emission to renewable energy. Finally, from policy perspectives, the results of this research recommend developing the financial system, and more funds should be allocated in modern and eco-friendly energy projects and utilized energy-efficient technologies.",Carbon emissions | Financial development | PMG-ARDL model | Primary and renewable energy utilization | Tourism | Urbanization,53,0,,,,undefined,
263,2-s2.0-85117594919,10.3390/en14206802,,,Insurance programs in the renewable energy sources projects,ar,Article,Kirillova N.,60032982;60016640;113339083,Financial University under the Government of the Russian Federation;Szkola Glówna Handlowa w Warszawie;Bronisław Markiewicz State Higher School of Technology and Economics in Jarosław,Moscow;Warsaw;Jaroslaw,Russian Federation;Poland;Poland,3,"Kirillova, Nadezda;Pukala, Ryszard;Janowicz-Lomott, Marietta",57206892438;56074541000;56487895600,60032982;113339083;60016640,2021-10-01 00:00:00,October-2 2021,Energies,,62932,19961073,Journal,14,20,6802,,"The development of projects using renewable energy sources (RES) necessitates the development of insurance programs and systems. This involves identifying and assessing the risks of renewable energy projects in the transition to new types of energy, determining typical corporate and specific risks, the need and content of the main types, forms of insurance contracts, assessing the financial condition, and choosing insurance organizations and reinsurance programs. This article focuses on the formation of such insurance programs, their interaction with industrial safety systems and ensuring corporate participation in achieving sustainable development goals; as well as selection and assessment of the insurer financial stability and the insurance RES programs economic efficiency.",Formation of insurance RES programs | Insurance programs | Renewable energy sources | Selection and assessment of the insurer financial stability,0,1,publisherfullgold,Gold,,undefined,
267,2-s2.0-85112312381,10.1007/s00267-021-01518-2,,34379171,From Project Impacts to Strategic Decisions: Recurring Issues and Concerns in Wind Energy Environmental Assessments,ar,Article,Dutta N.,60193094;60015186;60012967,School of Environment and Sustainability;University of Saskatchewan;University of British Columbia Okanagan,Saskatoon;Saskatoon;Kelowna,Canada;Canada;Canada,4,"Dutta, Nipa;Noble, Bram;Poelzer, Greg;Hanna, Kevin",57226679228;7101646350;6507403773;8289666200,60015186;60015186;60193094;60012967,2021-10-01 00:00:00,October 2021,Environmental Management,0364152X,21478,14321009,Journal,68,4,,591-603,"Wind energy is among the fastest-growing renewable energy source. Although not as controversial as fossil fuel-based energy projects, wind energy projects can be contested. Understanding common environmental assessment issues surrounding wind energy projects is important for addressing the transaction costs for renewable energy projects. This research examined 16 environmental assessments (EAs) for wind energy projects in Western Canada to identify the recurring issues and concerns raised by government reviewers, project interveners, and other affected interests. Fifty different issues were identified. Although variability existed among the number and diversity of issues by jurisdiction and by project, depending on location and size, concerns about land use, impacts on human well-being, impacts on natural ecosystems, and economic opportunity, represented nearly 80% of all issues and concerns. The majority of issues reflect project-specific impacts and concerns, but many issues including impacts to other land tenure holders or licensees (such as other utilities and industries) are issues that are beyond the scope and scale of what can be resolved at the time wind energy projects are proposed. Understanding and addressing recurrent issues and concerns and shifting the bigger issues to the planning and strategic process, are important conditions for the energy transition.",Energy transition | Environmental assessment | Renewable energy | Wind energy,3,0,,,SSHRC,435-2018-0008,Social Sciences and Humanities Research Council of Canada
272,2-s2.0-85105350353,10.1016/j.energy.2021.120812,S0360544221010604,,Cost-benefit analysis of tidal energy production in a coastal lagoon: The case of Ria Formosa – Portugal,ar,Article,Rodrigues N.,60013052;60002144,Centro de Investigacao Marinha e Ambiental;Universidade do Algarve,Faro;Faro,Portugal;Portugal,5,"Rodrigues, N.;Pintassilgo, P.;Calhau, F.;González-Gorbeña, E.;Pacheco, A.",59095126200;57199644800;57223213418;57194202085;55432603300,60002144;60002144;60002144;60013052;60013052,2021-08-15 00:00:00,15 August 2021,Energy,03605442,29348,,Journal,229,,120812,,"The energy that can be extracted from tidal currents is one of the most promising renewable energy sources due to its high density/predictability. Within this paper this energy source is evaluated economically respecting sustainability principles. This evaluation contrasts from previous studies due to the application of a cost-benefit analysis based on a hydro-morphodynamic model, and moving away from the classic proxy of wind energy. It further includes, via the Monte Carlo method, a probabilistic underpinning to the project. The hydro-economic model was applied to a tidal energy project using an Evopod 1:4th scale prototype, based on a real deployment of an Evopod 1:10th scale device in the Ria Formosa, Algarve. The results show that, under the current costs and benefits, the project is not economically viable. However, there are admissible parameter ranges that make the project viable such as significant reduction of investment costs, increased capacity factors and favourable energy prices. This novel methodology has potential to be applied to other tidal energy projects on estuarine systems worldwide, and consists of a comprehensive modelling approach, including the technical, environmental, and socio-economic dimensions of the project, not only in a deterministic setting but also in a probabilistic one.",Cost-benefit analysis | Hydro-economic model | Monte Carlo method | Tidal energy production,8,0,,,H2020,067/2018,Horizon 2020 Framework Programme
285,2-s2.0-85108987235,10.3390/en14123672,,,Insurance instruments in estimating the cost energy assets with renewable energy sources,ar,Article,Pukala R.,60032982;113339083,Financial University under the Government of the Russian Federation;Bronisław Markiewicz State Higher School of Technology and Economics in Jarosław,Moscow;Jaroslaw,Russian Federation;Poland,3,"Pukala, Ryszard;Kirillova, Nadezda;Dorozhkin, Alexey",56074541000;57206892438;57204696726,113339083;60032982;60032982,2021-06-02 00:00:00,2 June 2021,Energies,,62932,19961073,Journal,14,12,3672,,"The construction and commissioning of renewable energy sources is one of the priority areas of energy programs aimed at achieving sustainable development goals. The creation and operation of such sources is associated with significant risks, the management of which is based on real insurance instruments. This article focuses on the formation of a model for assessing the use of insurance in renewable energy projects and presents the business process, stages, risk drivers, and calculation of the economic efficiency of the use of insurance mechanisms in renewable energy projects.",Estimating model | Insurance | Renewable energy sources,2,1,repositoryvor,Green,,undefined,
286,2-s2.0-85107727716,10.3390/su13116330,,,Greenhouse gas emissions of stationary battery installations in two renewable energy projects,ar,Article,Pucker-Singer J.,60031106;60027742,Univerza v Ljubljani;Joanneum Research Forschungsgesellschaft mbH,Ljubljana;Graz,Slovenia;Austria,8,"Pucker-Singer, Johanna;Aichberger, Christian;Zupančič, Jernej;Neumann, Camilla;Bird, David Neil;Jungmeier, Gerfried;Gubina, Andrej;Tuerk, Andreas",57224506972;57223965602;35858495400;57224513030;35174303300;6602535752;6602596220;16319567600,60027742;60027742;60031106;60027742;60027742;60027742;60031106;60027742,2021-06-01 00:00:00,1 June 2021,Sustainability (Switzerland),,21100240100,20711050,Journal,13,11,6330,,"The goal to decrease greenhouse gas (GHG) emissions is spurring interest in renewable energy systems from time-varying sources (e.g., photovoltaics, wind) and these can require batteries to help load balancing. However, the batteries themselves add additional GHG emissions to the electricity system in all its life cycle phases. This article begins by investigating the GHG emissions for the manufacturing of two stationary lithium-ion batteries, comparing production in Europe, US and China. Next, we analyze how the installation and operation of these batteries change the GHG emissions of the electricity supply in two pilot sites. Life cycle assessment is used for GHG emissions calculation. The regional comparison on GHG emissions of battery manufacturing shows that primary aluminum, cathode paste and battery cell production are the principal components of the GHG emissions of battery manufacturing. Regional variations are linked mainly to high grid electricity demand and regional changes in the electricity mixes, resulting in base values of 77 kg CO2-eq/kWh to 153 kg CO2-eq/kWh battery capacity. The assessment of two pilot sites shows that the implementation of batteries can lead to GHG emission savings of up to 77%, if their operation enables an increase in renewable energy sources in the electricity system.",Batteries | Energy storage | Life cycle assessment | Renewable energy,10,1,publisherfullgold,Gold,H2020,646426,Klima- und Energiefonds
289,2-s2.0-85102992294,10.1016/j.erss.2021.102016,S2214629621001092,,How will I know about local energy projects? A conjoint-analysis of communication preferences in Germany,ar,Article,Kluge J.,60016653,Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany,3,"Kluge, Johanna;Offermann-van Heek, Julia;Ziefle, Martina",55803547500;57369708800;6602475572,60016653;60016653;60016653,2021-05-01 00:00:00,May 2021,Energy Research and Social Science,22146296,21100325067,,Journal,75,,102016,,"In an interconnected world like ours, boundaries between nations and between political, economic, and ecological challenges fade away. Within renewable energy and infrastructure projects, fields of tension evolve between global goals and local worries, and often protest arises. Communication strategies can be a way to involve citizens in project development and to build a dialogue instead of hardened fronts. However, it is unclear whether communication requirements and willingness to protest are connected and to which extent communication strategies help to create and shape a dialogue between potential protesters and other stakeholders. A conjoint approach was chosen to determine relationships between communication and protest motivation in the energy context. We compare this with mobility infrastructure and local political projects as examples, to find out whether results are unique or generalizable. Overall, we found generalizable aspects, that are the same for the energy and the example contexts. Point in time, informing person and participation were relevant decision criteria, whereas information channel was the least important independent communication criterion for all contexts. Two essential decision patterns were identified focusing either on source or on time of information. These patterns were influenced by diverse individual factors, e.g. age and protest experience.",Communication needs | Conjoint analysis | Large-scale projects | Protest | Public perception | User diversity,9,0,,,,undefined,
295,2-s2.0-85098986741,10.1016/j.aej.2020.12.029,S1110016820306773,,Optimum utilization of grid-connected renewable energy sources using multi-year module in Tunisia,ar,Article,Souissi A.,60038666,"University of Carthage, Institut National des Sciences Appliquées et de Technologie",Tunis,Tunisia,1,"Souissi, Ahmed",58255514200,60038666,2021-04-01 00:00:00,April 2021,Alexandria Engineering Journal,11100168,13907,,Journal,60,2,,2381-2393,"This study aims to raise awareness of renewable energies' importance from an economic and environmental perspective and provide reference data for the investment decision in Tunisia's renewable energy. It focuses on the techno-economic analysis of a grid-connected photovoltaic-wind power system to supply residential load in 26 cities in Tunisia using the multi-year module. Three types of small wind turbines are studied to select suitable wind turbines for each site based on the capacity factor concept. HOMER simulation software is used to design and determine the feasibility of the systems. The optimal configuration is obtained at each site of the country in terms of the lowest net present cost and CO2 emissions using the Wes-tulipo wind turbine. The obtained results show that wind energy is suitable for most cities. It is even more profitable and competitive than photovoltaic (PV) in northern and central Tunisia. In contrast, the PV system has great potential for development in the southern regions of the country. The economic benefit of the renewable energy project for each site is between 11 and 16 years during the 25-years project lifetime, proving its economic attractiveness. Furthermore, this study's sensitivity analysis proves that the PV system becomes competitive if its capital cost is reduced to less than 57% of its current capital cost.",Grid-connected renewable energy systems | Multi-year module | Optimization | Techno-economic analysis,12,1,publisherfullgold,Gold,,undefined,
298,2-s2.0-85099001024,10.1016/j.apenergy.2020.116341,S0306261920317232,,1.6 Million transactions replicate distributed PV market slowdown by COVID-19 lockdown,ar,Article,Zhang H.,60105683;60073652;60025272;60019497;60006739,"Southern University of Science and Technology;Tongji University;The University of Tokyo;International Institute for Applied Systems Analysis, Laxenburg;Mälardalen University",Shenzhen;Shanghai;Tokyo;Laxenburg;Vasteras,China;China;Japan;Austria;Sweden,13,"Zhang, Haoran;Yan, Jinyue;Yu, Qing;Obersteiner, Michael;Li, Wenjing;Chen, Jinyu;Zhang, Qiong;Jiang, Mingkun;Wallin, Fredrik;Song, Xuan;Wu, Jiang;Wang, Xin;Shibasaki, Ryosuke",57204578013;58614435000;55726920800;6603640566;57211170595;57207953874;57207961982;57208125708;14053136800;7402269519;57192691577;57192627557;7003648498,60025272-60006739;60006739;60025272;60019497;60025272;60025272;60025272;60006739;60006739;60105683;60073652;60073652;60025272,2021-02-01 00:00:00,1 February 2021,Applied Energy,03062619,28801,,Journal,283,,116341,,"Solar PV has seen a spectacular market development in recent years and has become a cost competitive source of electricity in many parts of the world. Yet, prospective observations show that the coronavirus pandemic could impact renewable energy projects, especially in the distributed market. Tracking and attributing the economic footprint of COVID-19 lockdowns in the photovoltaic sector poses a significant research challenge. Based on millions of financial transaction records and 44 thousand photovoltaic installation records, we tracked the spatio-temporal sale network of the distributed photovoltaic market and explored the extent of market slowdown. We found that a two-month lockdown duration can be assessed as a high-risk threshold value. When the lockdown duration exceeds the threshold value, the monthly value-added loss reaches 67.7%, and emission reduction capacity is cut by 64.2% over the whole year. We show that risks of a slowdown in PV deployment due to COVID-19 lockdowns can be mitigated by comprehensive incentive strategies for the distributed PV market amid market uncertainties.",COVID-19 | Distributed PV market | Economy slowdown | Transaction,36,1,repositoryam,Green,,undefined,
303,2-s2.0-85132973892,10.37614/2220-802X.1.2021.71.002,,,CONVENTIONAL AND NEW SMALL POWER GENERATION IN THE NORTHERN REGIONS OF RUSSIA,ar,Article,Chajka L.V.,60004454,"Komi Science Centre Ural Division, Russian Academy of Sciences",Syktyvkar,Russian Federation,1,"Chajka, Larisa V.",58172726900,60004454,2021-01-01 00:00:00,2021,Sever i Rynok: Formirovanie Ekonomiceskogo Poradka,2220802X,21101089508,,Journal,71,1,,13-25,"For the North and Arctic regions of Russia the task of the small power generation development is important because there are large areas of expensive decentralized electricity supply (DES) and difficult living conditions. In studying the processes of the small energy development, it is important to detail regional features and economic conditions that determine competitiveness of promising types of energy sources. The article presents the analysis results of the DES of the Russia northern territories on the example of three regions: the Republic of Komi, the Arkhangelsk region, the Republic of Sakha (Yakutia). The analysis aim is to determine the existing prerequisites and barriers to active development of the small power generation in the North. On the basis of the detailed energy-economic indicators and the received generalizations, options for improving the efficiency of autonomous energy supply based on conventional and new small-sized power generation technologies are being considered. The analysis showed that the development of DES zones does not have the institutional incentives and sufficient resource base for qualitative technological modernization. Most of the investment and operating costs of DES in the northern regions are compensated through cross- and budget subsidizations. Traditional diesel generation remains high-cost and low-efficiency, its modernization is carried out at slow rate, the potential of electric and heat energy cogeneration is not used. Renewable energy technologies are not ready for large implementation in local energy systems of the North and Arctic of Russia. The renewables projects, implemented over the past five years, are mainly experimental and demonstration. The analysis of the indicators of the ""northern"" renewable energy projects does not confirm their economic efficiency. The reasons are not only in the high unit investment costs, but also in relatively low utilization rates of the installed capacity (capacity factors) of solar and wind power plants. There is no targeted state support for the development of the efficient small-sized power generation in northern regions.",decentralized electricity supply | Northern regions of Russia | renewable energy sources (renewables) | small-scale power generation,2,1,publisherfullgold,Gold,,undefined,
317,2-s2.0-85119333380,10.26794/2587-5671-2020-25-5-79-91,,,Analysis of energy projects financial efficiency and renewable energy generation in russia,ar,Article,An J.,60032982;60007830,Financial University under the Government of the Russian Federation;Hankuk University of Foreign Studies,Moscow;Seoul,Russian Federation;South Korea,2,"An, Jaehyung;Mikhaylov, Alexey Y.",56516007300;57214766800,60007830;60032982,2021-01-01 00:00:00,2021,Finance: Theory and Practice,25875671,21101038741,25877089,Journal,25,5,,79-91,"The authors study the development of the oil and gas industry and assess the financial efficiency of the use of renewable energy sources, which determine the relevance of the research topic. The purpose of this work is to study the effectiveness of the development of the Russian energy sector and its contribution to the world economy. The main question to which this article should give an answer is that how the Russian power industry will develop in corresponding to the global trends in energy consumption. This paper uses a method for finding the parameters of the efficiency of renewable energy sources using exponential smoothing. The paper uses data from the analytical report of British Petroleum and the Bloomberg system for the period from January 2012 to December 2019. The result of the study shows an improvement in the accuracy of the predicted values, while previous models had higher standard error estimates. The novelty of the study is to achieve accurate results of the forecast of fossil-fuel consumption for 3 years ahead (the forecast accuracy is 80.5). The article concludes that while Russian oil and gas projects are very important for the Russian economy until now, renewable energy projects are more beneficial. In addition, Russia does not seem to support the global trend towards a renewable and sustainable economy. Although oil and gas prices remain acceptable, unforeseen changes in the behavior of real buyers can hinder the efficiency of the Russian economy and lead to a disruption of Russia's economic growth if Russia does not decisively steer towards renewable energy from now on. The growth of the Russian power industry corresponds to the global trends in fossil energy consumption (while fossil prices, thus incomes keep worsening), and thus innovative solutions for enhancing renewable energies must be adopted. The article proves that many pipeline projects (South Stream, Turkish Stream, Nord Stream 2) move the Russian energy sector back to the past because they just contradict existing trends.",Electrical grids | Energy resources | Hydropower | Natural gas | Power consumption | Stock quotes movement,39,1,publisherfullgold,Gold,HUFS,undefined,Hankuk University of Foreign Studies
318,2-s2.0-85118978665,10.32479/ijeep.11612,,,Renewable energies resources evaluation using a geographic information systems in the Colombian Caribbean region,ar,Article,García G.R.,60105016,Universidad Francisco de Paula Santander,Cucuta,Colombia,3,"García, Gonzalo Romero;Castillo, Dora Villada;Rojas, Jhan Piero",57219162725;57336995900;57205117762,60105016;60105016;60105016,2021-01-01 00:00:00,2021,International Journal of Energy Economics and Policy,,21100281302,21464553,Journal,11,6,,7-15,"This manuscript presents an integral evaluation of the use of wind and solar resources in the Colombian Caribbean region. For the use of solar and wind energy sources, spatial restrictions according to topography, natural parks, water reserves, indigenous and sacred reserves were taken into account. In addition, studies of the energy potential of wind and solar radiation were carried out through geostatistical analysis of different points in meteorological stations located in the region. Finally, areas with wind and solar potential were determined using the Geographic Information System for Renewable Energies (SIGER). The results show that the department of Guajira has the highest values of solar brightness (229-240 Month day), while the departments of Valledupar, Cesar, and part of Magdalena decrease in the range of 229 to 207 Month day. In terms of solar radiation, the departments of Guajira and Atlántico showed global solar radiation values of up to 6,015 W/m2. The departments of Cesar, Magdalena, and part of Bolivar showed values close to 5,259 W/m2; while Sucre, and Cordoba showed low solar radiation values of 4,502 W/m2. It is concluded that the departments of Atlántico and Guajira are excellent candidates for solar and wind energy projects due to their characteristics. The results of this manuscript are a fundamental basis for future technical-economic feasibility studies of renewable energy in the Colombian Caribbean region. In addition, it allows the elaboration of energy policies that encourage the execution of this type of study at a real level.",Renewable Energies | SIGER | Solar Energy | Wind Energy | Wind Potential,0,1,publisherfullgold,Gold,,undefined,
335,2-s2.0-85100354649,10.32479/ijeep.10766,,,Impact of the adopted financial processes for carrying out green energy projects in Georgia,ar,Article,Zhakupova A.,60192083;60106198;60071849,Academy of Public Administration under the President of the Republic of Kazakhstan;Narxoz University;Buketov Karagandy University,Astana;Almaty;Karaganda,Kazakhstan;Kazakhstan;Kazakhstan,5,"Zhakupova, Aizada;Aigerim, Lambekova;Elmira, Syzdykova;Dinara, Syzdykova;Azamat, Zhanseitov",58530780500;57204244683;57201672842;57221830433;57201319204,60106198;60071849;60071849;60071849;60192083,2021-01-01 00:00:00,2021,International Journal of Energy Economics and Policy,,21100281302,21464553,Journal,11,2,,57-61,"Green energy is considered the backbone for all the environmental strategies as it impacts the organizations in three key areas, such as the economy, society, and environment. Green energy projects have emerged as the sustainable drivers of economic elevation for a country, replacing the conventional energy sources that damage the ecology to a great extent. In this paper, the primary purpose is to overview the financial processes to pursue green energy. Moreover, this paper has analyzed all the financial mechanisms required in Georgia to carry out green energy projects. This paper has also compared Georgia’s economic mechanisms with those of another developing country, Kazakhstan. For this purpose, this paper has gathered the secondary sources of data to identify the financial processes and the associated risks of Georgia’s financial operations for pursuing the green energy processes. For understanding Georgia’s financial mechanisms, this paper has incorporated descriptive analysis tools and regression analysis.",Economic progress | Energy consumption | Financial development | Financial stability budget | Financial strategy | Renewable energy,3,1,repositoryam,Green,,undefined,
337,2-s2.0-85097042616,,,,Impact analysis of renewable energy based generation in West Africa – a case study of Nigeria,ar,Article,Adeyemi-Kayode T.M.,60103980;60042282;60021797,Covenant University;Kaunas University of Technology;Atilim University,Ota;Kaunas;Ankara,Nigeria;Lithuania;Turkey,3,"Adeyemi-Kayode, Temitope M.;Misra, Sanjay;Damaševičius, Robertas",57218896518;56962766700;6603451290,60103980;60103980-60021797;60042282,2021-01-01 00:00:00,1 January 2021,Problemy Ekorozwoju,18956912,19400157013,20801971,Journal,16,1,,67-78,"The limited supply of fossil fuels, constant rise in the demand of energy and the importance of reducing greenhouse emissions has brought about the adoption of renewable energy sources for generation of electrical power. In this paper, the impact of renewable energy generation in Nigeria is explored. A review of renewable deposits in Nigeria with a focus on Solar, Biomass, Hydropower, Pumped Storage Hydro and Ocean energy is detailed. The impact of renewable energy-based generation is assessed from three different dimensions: Economic Impact, Social Impact and Environmental Impact. In accessing economic impact; the conditions are employment and job creation, gross domestic product (GDP) growth and increase in local research and development. To analyze the social im-pact; renewable energy education, renewable energy businesses, ministries and institutes, renewable energy projects and investments as well as specific solar and wind projects across Nigeria were considered. Also, environmental issues were discussed. Similarly, policy imperatives for renewable energy generation in Nigeria was pro-vided. This paper would be useful in accessing the successes Nigeria has experienced so far in the area of sustainable development and the next steps to achieving universal energy for all in Nigeria in 2030.",Biomass | Economic impact | Environmental impact | Hydropower | Nigeria | Ocean energy | Renewable energy | Social impact | Solar energy | Sustainability | Thermal energy | West Africa,12,0,,,,undefined,
338,2-s2.0-85096781983,10.1002/er.5901,,,Performance evaluation and degradation analysis of different photovoltaic technologies under arid conditions,ar,Article,Chawla S.,60080305,Jaypee Institute of Information Technology,Noida,India,2,"Chawla, Sakshi;Tikkiwal, Vinay Anand",57220070692;56040143100,60080305;60080305,2021-01-01 00:00:00,January 2021,International Journal of Energy Research,0363907X,26676,1099114X,Journal,45,1,,786-798,"The world has witnessed a substantial upsurge in energy demand in the recent decades, which has concurrently led to increased environmental contamination due to the use of carbon-based fuels to meet this demand. The increased pollution levels across the globe combined with the rapid depletion of these carbon-based non-renewable sources of energy has forced nations to adopt cleaner sources such as solar energy, wind energy, biomass etc. for meeting energy requirements. Utilities and power transmission companies, in several countries, have begun installation and operation of large-scale solar energy projects in order to augment the present electricity generation capacity. India has a tremendous potential for solar energy as 58% of the total land area receives an average solar insolation above 5 kWh/m2/day, annually. However, PV installations require proper economic formulation and technical modelling of PV plants. The study presented in this paper investigates the feasibility of installing a 1 MW grid-connected PV system in the arid climatic conditions of India. Four different regions of the Thar Desert: Barmer, Jodhpur, Jaisalmer, and Kalan Ghat have been considered for the study. A comparative study has been laid out based on energy yields, losses, and degradation of various module technologies namely mono-Si, poly-Si, CdTe, and CIS. The performance of the PV systems has been evaluated both in the fixed-tilt and variable-tilt configurations. Simulation results show that the daily yield in winter months ranges between 5.8 and 6.9 MWh/day whereas, during summer, it ranges between 5 and 7.1 MWh/day. The study suggests that CIS module is expected to produce highest annual energy yield of 2471 MWh with a PR of 86.1%, in the variable-tilt configuration for the Jaisalmer region. Annual energy loss due to temperature is expected to be highest for mono-Si technology (14.4%) in the variable-tilt configuration and lowest for CIS technology (9.4%) in the fixed-tilt configuation. Moreover, mismatch losses for all the four technologies lie in the range of 0.1-1.1%.",arid zone | CdTe | CIS | degradation | energy loss | mono-Si | performance | performance ratio | photovoltaics | poly-Si | solar,6,1,publisherfullgold,Gold,,undefined,
348,2-s2.0-85098884293,10.1016/j.egyr.2020.11.175,S2352484720316000,,Economic viability of rooftop photovoltaic systems in the middle east and northern African countries,ar,Article,Alrawi O.F.,60113885,"Hamad Bin Khalifa University, College of Science and Engineering",Doha,Qatar,2,"Alrawi, Omar F.;Al-Ghamdi, Sami G.",57220040306;56439247500,60113885;60113885,2020-12-01 00:00:00,December 2020,Energy Reports,,21100389511,23524847,Journal,6,,,376-380,"Renewable energy sources and the possible sustainability that can be achieved through them has become a common discourse in the world today. The Middle East and Northern African countries have high potential to benefit from large scale renewable energy projects. These nations may initiate or permit the use of residential rooftop photovoltaic (PV) systems in the near future. However, data regarding system design, grid compatibility, and consumption of energy produced through rooftop photovoltaic systems is insufficient. The supporting policies and a feed-in tariff lack, thereby creating more research and development issues. Therefore, this research study aims to use the ten most populated nations in the Middle East and Northern Africa to (1) compare the use of rooftop PV systems in ten populated cities and (2) to evaluate the economic viability of rooftop PV systems under varying policies and electricity rate schemes. The findings of the study can help policymakers understand the application of rooftop PV systems in the Middle East and Northern African countries. The study, the first of its kind, uses an economic model to evaluate rooftop PV systems in ten identical houses in ten of the most populated cities in the Middle East and Northern African countries.",Economic viability | Electricity prices | Middle east | Northern African countries | Rooftop PV | Solar energy,8,1,publisherfullgold,Gold,,undefined,
362,2-s2.0-85091739887,,,,Techno-economic comparative analysis between grid-connected and stand-alone integrated energy systems for an educational institute,ar,Article,Mendu S.S.,60109690;60105710;60078723,"Indian Institute of Technology Tirupati;Jawaharlal Nehru Technological University, Kakinada;MVGR College of Engineering",Tirupati;Kakinada;Vizianagaram,India;India;India,4,"Mendu, Siva Subrahmanyam;Appikonda, Padmaja;Emadabathuni, Anil Kumar;Koritala, Naresh",55181429200;57219229790;57212585111;57219225012,60078723;60105710;60109690;60105710,2020-09-01 00:00:00,September 2020,Evergreen,21890420,21100812868,24325953,Journal,7,3,,382-395,"Promoting green energy initiatives are vital in educational institutes to encounter the energy demand and providing a sustainable life. In the most part, solar and wind energy options are chosen as renewable energy projects to meet part of electricity demand. However, because of the intermittent nature of these sources, alternative technologies should be chosen to provide effective and sustainable solutions. Various energy resources need to be combined in order to provide effective and efficient power generation. The present paper therefore focuses on the feasibility study of integrated energy systems for the energy supply of the educational institution. The work examines the techno-economic performance of various grid-connected and stand-alone integrated energy systems for an educational institute for making a decision before implementing green energy technologies. First, the energy demand is estimated for the entire campus. Further, the potential of renewable energy resources is assessed using NASA and NREL. A detailed survey was carried out to select the components required to model the various integrated energy systems. The modelling, optimization and economic study are performed using HOMER Pro software. A comparative economic analysis is made among considered integrated systems using Net Present Cost (NPC), COE and pay-back period. The study divulges that the grid-connected hybrid system is the optimal one for meeting the power demand of the institute in a reliable manner.","Diesel generators, HOMER Pro | Integrated energy system | Solar/ Wind energy",23,0,,,,undefined,
